"RECORD","TP","TN","FP","FN"
"08378",11008,33893,144,470
"00735",277,39849,52,55
"04746",30732,16905,95,141
"07879",39943,16499,60,92
"07910",6499,29725,104,271
"07162",39198,0,0,100
"03665",10985,41419,289,72
"05261",654,44220,380,280
"04043",8544,44324,2957,6090
"05121",32687,14925,1197,1072
"08455",44103,15249,39,161
"08219",12645,42558,2541,1549
"08405",45003,13761,0,92
"04126",3021,38798,769,272
"08434",2310,37372,168,0
"06453",117,34275,117,328
"04015",485,40815,2665,40
"04908",5491,55058,892,319
"04048",419,38985,136,394
"06995",26961,25640,2023,565
"05091",0,36597,56,140
"06426",52095,796,1223,1041
"07859",60166,0,0,100
"04936",32662,12365,1600,7019
"08215",32958,10181,45,172
