"RECORD","TP","TN","FP","FN","LEN(oracle)"
"04043",8578,44310,2923,6101,61914
"08219",12664,42555,2522,1549,59292
"04048",420,38979,135,397,39933
"06995",26962,25639,2022,563,55188
"08405",45003,13757,0,93,58855
"04908",5493,55055,890,319,61759
"00735",277,39846,52,55,40232
"05121",32693,14923,1191,1071,49880
"07162",39198,0,0,97,39297
"05261",655,44213,379,284,45533
"08215",32959,10178,44,172,43355
"07879",39944,16496,59,92,56593
"06426",52105,794,1213,1040,55154
"08455",44103,15246,39,161,59551
"04126",3024,38794,766,273,42859
"07910",6501,29722,102,271,36598
"03665",10988,41416,286,72,52764
"06453",118,34270,116,330,34836
"05091",0,36590,56,144,36792
"08378",11010,33890,142,470,45514
"04015",488,40811,2662,41,44004
"04746",30734,16901,93,142,47872
"08434",2313,37369,165,0,39849
"04936",32675,12355,1587,7026,53645
"07859",60166,0,0,97,60265
